AAPL,116,11/15/2022
GOOGL,5,11/15/2022
TSLA,279,11/15/2022
META,269,11/15/2022
COST,247,11/15/2022
AMZN,2,11/15/2022
MSFT,196,11/15/2022
UNH,108,11/15/2022
JNJ,274,11/15/2022
JPM,180,11/15/2022
AAPL,32,11/16/2022
GOOGL,292,11/16/2022
TSLA,297,11/16/2022
META,200,11/16/2022
COST,144,11/16/2022
AMZN,56,11/16/2022
MSFT,47,11/16/2022
UNH,214,11/16/2022
JNJ,37,11/16/2022
JPM,66,11/16/2022
AAPL,288.0,2022-11-17
GOOGL,163.0,2022-11-17
TSLA,34.0,2022-11-17
META,252.0,2022-11-17
COST,60.0,2022-11-17
AMZN,221.0,2022-11-17
MSFT,213.0,2022-11-17
UNH,159.0,2022-11-17
JNJ,125.0,2022-11-17
JPM,206.0,2022-11-17
AAPL,150.72,2022-11-17
GOOGL,98.36,2022-11-17
TSLA,183.17,2022-11-17
META,111.45,2022-11-17
COST,521.32,2022-11-17
AMZN,94.85,2022-11-17
MSFT,241.68,2022-11-17
UNH,515.31,2022-11-17
JNJ,174.86,2022-11-17
JPM,132.54,2022-11-17
AAPL,150.72,2022-11-17
GOOGL,98.36,2022-11-17
TSLA,183.17,2022-11-17
META,111.45,2022-11-17
COST,521.32,2022-11-17
AMZN,94.85,2022-11-17
MSFT,241.68,2022-11-17
UNH,515.31,2022-11-17
JNJ,174.86,2022-11-17
JPM,132.54,2022-11-17
AAPL,150.72,2022-11-17
GOOGL,98.36,2022-11-17
TSLA,183.17,2022-11-17
META,111.45,2022-11-17
COST,521.32,2022-11-17
AMZN,94.85,2022-11-17
MSFT,241.68,2022-11-17
UNH,515.31,2022-11-17
JNJ,174.86,2022-11-17
JPM,132.54,2022-11-17
AAPL,150.72,2022-11-17
GOOGL,98.36,2022-11-17
TSLA,183.17,2022-11-17
META,111.45,2022-11-17
COST,521.32,2022-11-17
AMZN,94.85,2022-11-17
MSFT,241.68,2022-11-17
UNH,515.31,2022-11-17
JNJ,174.86,2022-11-17
JPM,132.54,2022-11-17
AAPL,150.72,2022-11-17
GOOGL,98.36,2022-11-17
TSLA,183.17,2022-11-17
META,111.45,2022-11-17
COST,521.32,2022-11-17
AMZN,94.85,2022-11-17
MSFT,241.68,2022-11-17
UNH,515.31,2022-11-17
JNJ,174.86,2022-11-17
JPM,132.54,2022-11-17
AAPL,150.72,2022-11-17
GOOGL,98.36,2022-11-17
TSLA,183.17,2022-11-17
META,111.45,2022-11-17
COST,521.32,2022-11-17
AMZN,94.85,2022-11-17
